,date,value
0,2021-12-31,1656408718698.7441
1,2022-12-31,1750147545993.0222
2,2023-12-31,1851414015801.658
3,2024-12-31,1948996336101.8955
4,2025-12-31,2048381738519.0566
5,2026-12-31,2146884683502.5662
6,2027-12-31,2245819517369.5034
7,2028-12-31,2344542977859.646
8,2029-12-31,2443369887885.38
9,2030-12-31,2542146168041.9395
